Vehicle Body Type,Plate Type,Registration State,Vehicle Color,Vehicle Year,Vehicle Make
SUBN,PAS,NY,BLACK,2005,TOYOT
SDN,PAS,NY,BLACK,2011,AUDI
SDN,PAS,NY,GREY,1998,TOYOT
SDN,PAS,NY,GREY,2013,TOYOT
SDN,PAS,NY,OTHER,2017,HONDA
SDN,PAS,NY,GREY,2016,HONDA
SDN,PAS,NY,RED,2014,NISSA
SUBN,PAS,NY,GREY,2010,NISSA
SDN,PAS,NY,BLACK,2017,AUDI
SDN,PAS,NY,GREY,2003,FORD
SUBN,PAS,NY,OTHER,2012,LEXUS
SUBN,PAS,NY,BLACK,2012,BMW
SUBN,PAS,NY,TAN,2011,TOYOT
SUBN,PAS,NY,GREY,2012,ME/BE
SUBN,PAS,NY,BLACK,2007,HYUND
SDN,PAS,NY,GREY,2001,HONDA
SDN,PAS,NY,GREY,2003,NISSA
SUBN,PAS,NY,GREY,2014,HONDA
SUBN,PAS,NY,TAN,2007,GMC
SDN,PAS,NY,GREY,2014,NISSA
P-U,PAS,NY,GREEN,2001,TOYOT
SDN,PAS,NY,GREY,2017,HONDA
SUBN,PAS,NY,RED,2008,LINCO
SUBN,PAS,NY,RED,1998,FORD
SDN,PAS,NY,OTHER,2012,VOLVO
SDN,PAS,NY,OTHER,2014,FORD
SUBN,PAS,NY,GREY,2017,DODGE
SUBN,PAS,NY,BLACK,2016,NISSA
P-U,PAS,NY,GREY,2005,DODGE
SUBN,PAS,NY,GREY,2011,JEEP
SUBN,PAS,NY,BLACK,2007,DODGE
SUBN,PAS,NY,GREY,2004,CHEVR
SDN,PAS,NY,BLACK,2017,HONDA
SUBN,PAS,NY,GREY,2007,NISSA
SUBN,PAS,NY,OTHER,2006,FORD
SDN,PAS,NY,SILVER,2003,HONDA
SDN,PAS,NY,BLACK,2016,TOYOT
SDN,PAS,NY,BLUE,2012,ME/BE
SUBN,PAS,NY,GREY,1997,TOYOT
P-U,PAS,NY,GREEN,1988,
SDN,PAS,NY,RED,2016,BMW
SDN,PAS,NY,BLACK,2011,NISSA
SDN,PAS,NY,GREY,2004,ME/BE
SDN,PAS,NY,SILVER,2002,NISSA
SDN,PAS,NY,GREY,2014,HYUND
SDN,PAS,NY,OTHER,2012,MINI
SDN,PAS,NY,OTHER,2009,HYUND
SDN,PAS,NY,OTHER,2013,NISSA
SUBN,PAS,NY,BLACK,2012,KIA
SUBN,PAS,NY,BLACK,2017,VOLKS
SUBN,PAS,NY,OTHER,2012,NISSA
SUBN,PAS,NY,BLACK,2017,KIA
SUBN,PAS,NY,SILVER,2016,CHEVR
SUBN,PAS,NY,OTHER,2017,VOLVO
SUBN,PAS,NY,GREY,2011,DODGE
SUBN,PAS,NY,BLACK,2015,ME/BE
SUBN,PAS,NY,BLACK,2016,VOLVO
SUBN,PAS,NY,BLACK,2016,TESLA
SUBN,PAS,NY,OTHER,2016,JEEP
P-U,PAS,NY,BLACK,2013,DODGE
SUBN,PAS,NY,GREEN,2002,TOYOT
SDN,PAS,NY,SILVER,2013,LEXUS
SUBN,PAS,NY,OTHER,2016,DODGE
SUBN,PAS,NY,SILVER,2017,CHEVR
SUBN,PAS,NY,OTHER,2016,LINCO
SUBN,PAS,NY,OTHER,2014,JEEP
SUBN,PAS,NY,BLACK,2016,HONDA
SUBN,PAS,NY,BROWN,2003,FORD
P-U,PAS,NY,BLACK,2016,FORD
SUBN,PAS,NY,OTHER,2016,PORSC
SUBN,PAS,NY,OTHER,2015,INFIN
SDN,PAS,NY,RED,2005,AUDI
SUBN,PAS,NY,BLACK,2017,MINI
SUBN,PAS,NY,BLACK,2016,JEEP
SUBN,PAS,NY,OTHER,2014,KIA
SUBN,PAS,NY,OTHER,2016,TOYOT
SUBN,PAS,NY,BLACK,2013,AUDI
SUBN,PAS,NY,BLACK,2012,JEEP
SDN,PAS,NY,TAN,1994,HONDA
SUBN,PAS,NY,GREY,2011,HONDA
SUBN,PAS,NY,BLACK,2017,NISSA
SDN,PAS,NY,SILVER,2002,LEXUS
SDN,PAS,NY,GREY,2016,INFIN
SDN,PAS,NY,BLUE,2013,HONDA
SDN,PAS,NY,BLACK,2001,SAAB
SUBN,PAS,NY,TAN,2016,ROVER
SUBN,PAS,NY,GREY,2017,ROVER
SUBN,PAS,NY,BLACK,2017,ME/BE
SDN,PAS,NY,BLACK,2009,ACURA
SUBN,PAS,NY,BLACK,2015,GMC
SDN,PAS,NY,BROWN,2012,KIA
SUBN,PAS,NY,ORANGE,2014,JEEP
SUBN,PAS,NY,RED,2013,TOYOT
SUBN,PAS,NY,BLACK,2004,GMC
SDN,PAS,NY,OTHER,2012,NISSA
SDN,PAS,NY,RED,2016,VOLKS
SUBN,PAS,NY,OTHER,2015,TOYOT
SUBN,PAS,NY,GREY,2015,BMW
SDN,PAS,NY,GREEN,2002,CHEVR
SDN,PAS,NY,GREY,2010,TOYOT
FOUR,PAS,NY,ORANGE,2009,TOYOT
SDN,PAS,NY,BLACK,2002,TOYOT
SDN,PAS,NY,GREY,2005,TOYOT
SDN,PAS,NY,OTHER,2013,BMW
SDN,PAS,NY,GREY,1991,LINCO
SDN,PAS,NY,BLACK,2006,LEXUS
SUBN,PAS,NY,BROWN,2008,BUICK
SUBN,PAS,NY,BLACK,2005,NISSA
SUBN,PAS,NY,BLACK,2008,TOYOT
SDN,PAS,NY,BLACK,2013,BMW
SDN,PAS,NY,GREY,1996,TOYOT
SDN,PAS,NY,RED,2016,HYUND
SUBN,PAS,NY,BLACK,1996,NISSA
SUBN,PAS,NY,GREY,2009,ME/BE
SDN,PAS,NY,RED,2012,TOYOT
SDN,PAS,NY,GREY,2011,TOYOT
SUBN,PAS,NY,BLACK,2008,ME/BE
SUBN,PAS,NY,GREY,2017,TOYOT
SUBN,PAS,NY,OTHER,2010,MARE
SUBN,PAS,NY,OTHER,2002,FORD
SDN,PAS,NY,BLACK,2012,ME/BE
SUBN,PAS,NY,GREY,2012,NISSA
SUBN,PAS,NY,BLUE,1999,JEEP
SDN,PAS,NY,GREY,2012,ACURA
SUBN,PAS,NY,TAN,2017,FORD
SUBN,PAS,NY,BLACK,2005,FORD
SDN,PAS,NY,GREY,2002,TOYOT
SDN,PAS,NY,GREY,1999,HONDA
SUBN,PAS,NY,GREEN,2015,CHEVR
SDN,PAS,NY,BLACK,2012,CHEVR
SUBN,PAS,NY,OTHER,2004,CADIL
SDN,PAS,NY,BLACK,2016,ME/BE
SDN,PAS,NY,RED,1995,MITSU
SUBN,PAS,NY,GREY,2012,DODGE
SDN,PAS,NY,OTHER,1999,HONDA
SDN,PAS,NY,OTHER,2014,INFIN
SUBN,PAS,NY,GREEN,2001,CHEVR
SDN,PAS,NY,GREY,2007,TOYOT
SDN,PAS,NY,OTHER,2004,NISSA
SUBN,PAS,NY,BLACK,2010,HONDA
SDN,PAS,NY,SILVER,2013,HONDA
SUBN,PAS,NY,OTHER,2009,ME/BE
SDN,PAS,NY,BLACK,2014,MERCU
SDN,PAS,NY,OTHER,2010,ME/BE
SDN,PAS,NY,GREY,2005,INFIN
SUBN,PAS,NY,GREY,2003,HONDA
SDN,PAS,NY,BLACK,2015,HONDA
SUBN,PAS,NY,SILVER,2004,CADIL
,PAS,NY,SILVER,2006,HONDA
SDN,PAS,NY,BLACK,2006,BMW
SDN,PAS,NY,GREY,2001,MERCU
SDN,PAS,NY,BLUE,2006,ME/BE
SUBN,PAS,NY,GOLD,2016,BUICK
SDN,PAS,NY,BLACK,2015,INFIN
P-U,PAS,NY,SILVER,2016,DODGE
SUBN,PAS,NY,OTHER,2012,ME/BE
SDN,PAS,NY,BLUE,2013,LEXUS
SDN,PAS,NY,YELLOW,2003,CHEVR
SDN,PAS,NY,SILVER,2004,BUICK
SUBN,PAS,NY,GREY,2005,TOYOT
SUBN,PAS,NY,BLUE,2016,ME/BE
SUBN,PAS,NY,OTHER,2007,GMC
P-U,PAS,NY,RED,2004,FORD
SUBN,PAS,NY,TAN,2004,JEEP
SUBN,PAS,NY,BLACK,2016,ROVER
SDN,PAS,NY,SILVER,2016,BMW
SDN,PAS,NY,OTHER,2012,VOLKS
SUBN,PAS,NY,YELLOW,2003,HUMME
SUBN,PAS,NY,BLUE,2013,JEEP
SDN,PAS,NY,GREY,2011,NISSA
SUBN,PAS,NY,GREY,2016,FORD
SUBN,PAS,NY,BLUE,2017,CHEVR
P-U,PAS,NY,OTHER,2011,CHEVR
SDN,PAS,NY,OTHER,2014,ME/BE
SUBN,PAS,NY,BLACK,2012,HONDA
SUBN,PAS,NY,BLUE,2008,HONDA
SDN,PAS,NY,OTHER,2015,HONDA
SUBN,PAS,NY,OTHER,2009,INFIN
SUBN,PAS,NY,GREY,2002,HONDA
SDN,PAS,NY,SILVER,2016,HONDA
SDN,PAS,NY,SILVER,2006,VOLVO
SDN,PAS,NY,GREY,2001,ME/BE
CONV,PAS,NY,RED,2008,MINI
SUBN,PAS,NY,BLACK,2017,JEEP
SUBN,PAS,NY,OTHER,2008,ME/BE
SDN,PAS,NY,RED,2002,HONDA
SDN,PAS,NY,BLACK,2013,VOLKS
SUBN,PAS,NY,GREY,2003,GMC
SUBN,PAS,NY,BLACK,2017,TOYOT
SDN,PAS,NY,GREY,2013,BMW
SUBN,PAS,NY,BLACK,2017,GMC
SDN,PAS,NY,SILVER,2006,MERCU
SUBN,PAS,NY,SILVER,2005,TOYOT
SUBN,PAS,NY,OTHER,2005,BMW
SDN,PAS,NY,OTHER,2011,TOYOT
SDN,PAS,NY,BLACK,2007,ACURA
SDN,PAS,NY,GOLD,2003,NISSA
II,PAS,NY,OTHER,2002,TOYOT
SUBN,PAS,NY,BLUE,2014,BMW
SUBN,PAS,NY,BLUE,2016,JEEP
SDN,PAS,NY,SILVER,2007,CADIL
SUBN,PAS,NY,BLACK,2006,JEEP
SDN,PAS,NY,BLACK,2012,JEEP
SDN,PAS,NY,GREY,2017,FORD
SDN,PAS,NY,BLACK,2004,HONDA
SUBN,PAS,NY,RED,2016,CHEVR
SDN,PAS,NY,OTHER,2006,INFIN
SUBN,PAS,NY,OTHER,2014,ME/BE
SDN,PAS,NY,BLACK,2004,CHEVR
SDN,PAS,NY,BLACK,2013,TOYOT
SDN,PAS,NY,OTHER,2016,ME/BE
SUBN,PAS,NY,OTHER,2017,FORD
SUBN,PAS,NY,BLACK,2010,JEEP
SUBN,PAS,NY,RED,2006,CHEVR
SDN,PAS,NY,OTHER,2017,MAZDA
SDN,PAS,NY,BEIGE,1999,INFIN
,PAS,NY,BLUE,2017,HYUND
SUBN,PAS,NY,BEIGE,2005,LEXUS
SUBN,PAS,NY,BLACK,2016,VOLKS
SUBN,PAS,NY,GREY,2006,CHRYS
SDN,PAS,NY,OTHER,2016,TOYOT
SDN,PAS,NY,RED,2001,MERCU
SDN,PAS,NY,OTHER,2020,CHEVR
SDN,PAS,NY,RED,2015,LINCO
SUBN,PAS,NY,OTHER,2015,JEEP
SUBN,PAS,NY,BLACK,2003,GMC
SUBN,PAS,NY,SILVER,2002,TOYOT
SDN,PAS,NY,RED,2005,NISSA
SUBN,PAS,NY,BLACK,2004,LINCO
SUBN,PAS,NY,OTHER,2016,ROVER
SDN,PAS,NY,RED,2002,TOYOT
SDN,PAS,NY,RED,2011,FORD
SDN,PAS,NY,OTHER,2015,CHEVR
SDN,PAS,NY,GREY,2016,NISSA
CONV,PAS,NY,OTHER,2001,BMW
SDN,PAS,NY,TAN,2002,NISSA
SDN,PAS,NY,SILVER,2003,FORD
SDN,PAS,NY,BLUE,2016,HONDA
SDN,PAS,NY,OTHER,2003,BMW
SDN,PAS,NY,SILVER,2010,VOLKS
SDN,PAS,NY,SILVER,2003,
SUBN,PAS,NY,ORANGE,2014,
SDN,PAS,NY,BLUE,2007,TOYOT
SDN,PAS,NY,RED,2004,SATUR
SDN,PAS,NY,BLACK,2016,MAZDA
SDN,PAS,NY,BLUE,2017,MAZDA
SDN,PAS,NY,BLACK,2016,HYUND
SUBN,PAS,NY,BLACK,2003,HONDA
SDN,PAS,NY,SILVER,2015,NISSA
SUBN,PAS,NY,BLUE,2004,CHRYS
SDN,PAS,NY,OTHER,2007,ME/BE
SUBN,PAS,NY,BLACK,2004,JEEP
SDN,PAS,NY,GREY,2011,FORD
SUBN,PAS,NY,OTHER,2015,ROVER
SDN,PAS,NY,BLACK,2011,CHEVR
SUBN,PAS,NY,GREY,2016,KIA
SDN,PAS,NY,BLACK,2016,FORD
SUBN,PAS,NY,OTHER,2007,MERCU
SDN,PAS,NY,GREY,2006,CHRYS
SUBN,PAS,NY,OTHER,2016,NISSA
SDN,PAS,NY,OTHER,2007,CADIL
SDN,PAS,NY,BLACK,2017,MERCU
SDN,PAS,NY,BLACK,2013,HYUND
SUBN,PAS,NY,BLACK,2003,KIA
SUBN,PAS,NY,SILVER,2017,SUBAR
SUBN,PAS,NY,GOLD,2002,FORD
SDN,PAS,NY,GREY,2007,NISSA
SUBN,PAS,NY,GOLD,2003,FORD
SDN,PAS,NY,BLACK,2014,HONDA
SDN,PAS,NY,BLACK,2010,FORD
SUBN,PAS,NY,OTHER,1994,JEEP
SUBN,PAS,NY,BLUE,2005,HONDA
SUBN,PAS,NY,GREEN,2006,HYUND
SDN,PAS,NY,BLUE,2015,BMW
SDN,PAS,NY,OTHER,2017,FORD
SDN,PAS,NY,GREY,2003,JAGUA
SUBN,PAS,NY,GREY,2012,
SUBN,PAS,NY,GREY,2006,NISSA
SDN,PAS,NY,GREY,2007,SUBAR
SUBN,PAS,NY,RED,2008,SUBAR
SDN,PAS,NY,GREY,2013,NISSA
SDN,PAS,NY,OTHER,2016,NISSA
SUBN,PAS,NY,GREEN,2005,BMW
SDN,PAS,NY,GREY,2014,CADIL
SDN,PAS,NJ,BLACK,2014,BMW
VAN,PAS,PA,GREY,2007,HONDA
SDN,PAS,NY,BLACK,2015,TOYOT
SUBN,PAS,NY,BLACK,2015,CHEVR
SDN,PAS,NY,BLUE,2007,CHEVR
SUBN,PAS,NY,BLACK,2014,CHEVR
SUBN,PAS,NY,BLACK,2007,CHEVR
SDN,PAS,NY,BLACK,2016,CADIL
SDN,PAS,NY,BLACK,2011,BMW
SUBN,PAS,NY,OTHER,2017,JEEP
SUBN,PAS,NY,RED,2011,KIA
SDN,PAS,NY,BROWN,2015,VOLKS
SDN,PAS,NY,RED,2006,TOYOT
SDN,PAS,NY,BLACK,2005,TOYOT
SDN,PAS,NY,GREY,2008,NISSA
SDN,PAS,NY,SILVER,2011,HYUND
SDN,PAS,NY,OTHER,2016,BMW
SDN,PAS,NY,BLUE,2003,BMW
SDN,PAS,NY,SILVER,2003,MITSU
SDN,PAS,NY,OTHER,2016,HONDA
SDN,PAS,NY,BLACK,2017,KIA
SUBN,PAS,NY,OTHER,2005,KIA
SUBN,PAS,NY,SILVER,2003,HONDA
SUBN,PAS,NY,BLACK,2003,HYUND
SDN,PAS,NY,OTHER,2006,NISSA
SDN,PAS,NY,SILVER,2016,ACURA
SDN,PAS,NY,BLUE,2009,HYUND
SUBN,PAS,NY,SILVER,2002,CHEVR
SUBN,PAS,NY,BLACK,2003,TOYOT
SUBN,PAS,NY,BLACK,2014,CHRYS
SUBN,PAS,NY,OTHER,2015,NISSA
SUBN,PAS,NY,GREY,2015,TOYOT
SUBN,PAS,NY,SILVER,2001,HONDA
SDN,PAS,NY,BLACK,2012,HONDA
SUBN,PAS,NY,SILVER,2012,BMW
SUBN,PAS,NY,SILVER,2006,HONDA
SUBN,PAS,NY,SILVER,2005,HONDA
FOUR,PAS,NY,BLUE,2013,HYUND
SUBN,PAS,NY,GREY,2013,TOYOT
SUBN,PAS,NY,BLACK,2014,HONDA
TWOD,PAS,NY,BLACK,2011,HONDA
SUBN,PAS,NY,BLACK,2014,JEEP
SUBN,PAS,NY,OTHER,2003,FORD
SDN,PAS,NY,BLACK,2008,TOYOT
SUBN,PAS,NY,GOLD,2013,FORD
SUBN,PAS,NY,BLACK,2013,JEEP
SUBN,PAS,NY,BLACK,2015,JEEP
SDN,PAS,NY,BLACK,2009,MAZDA
SDN,PAS,NY,GREY,2005,SUZUK
SUBN,PAS,NY,BLACK,2010,ACURA
FOUR,PAS,NY,GREY,2009,NISSA
SDN,PAS,NY,GREY,2017,NISSA
SDN,PAS,NY,BLACK,2008,CHRYS
SDN,PAS,NY,BLUE,2011,NISSA
SUBN,PAS,NY,BLACK,2006,CHRYS
,PAS,NY,RED,2005,HONDA
IDBD,PAS,NY,RED,2010,NISSA
FOUR,PAS,NY,BLACK,2016,DODGE
SDN,PAS,NY,RED,2014,HONDA
SDN,PAS,NY,OTHER,2006,CADIL
SDN,PAS,NY,BLUE,2016,TOYOT
SDN,PAS,NY,BLUE,2016,NISSA
SDN,PAS,NY,GREY,2013,CHRYS
SDN,PAS,NY,RED,2014,HYUND
SUV,PAS,NY,OTHER,2016,NISSA
SUBN,PAS,NY,GREY,2016,INFI
SDN,PAS,NY,BLACK,2006,HONDA
,PAS,NY,BLUE,2016,HONDA
SDN,PAS,NY,GREY,2017,TOYOT
SUBN,PAS,NY,GREY,2014,INFIN
SDN,PAS,NY,YELLOW,2012,FIAT
VAN,PAS,NY,BLUE,1998,DODGE
SDN,PAS,NY,OTHER,2004,ACURA
SUBN,PAS,NY,BLACK,2012,TOYOT
SUBN,PAS,NY,BLACK,2016,GMC
,PAS,NY,BLACK,1994,HYUN
SDN,PAS,NY,GREY,2015,KIA
SDN,PAS,NY,BLUE,2016,VOLKS
SDN,PAS,NY,BLACK,2008,BMW
SDN,PAS,NY,TAN,2008,BMW
SDN,PAS,NY,GREY,2003,HONDA
SDN,PAS,NY,BLACK,2006,INFIN
SUBN,PAS,NY,GREY,2010,KIA
SDN,PAS,NY,GREY,2015,BMW
SDN,PAS,NY,RED,1999,FORD
SUBN,PAS,NY,SILVER,2005,FORD
SDN,PAS,NY,GREY,2006,LINCO
SUBN,PAS,NY,BLACK,2005,ROVER
SDN,PAS,NY,SILVER,2016,HYUN
SDN,PAS,NY,BLACK,2009,TOYOT
SUBN,PAS,NY,GREEN,2016,JEEP
SDN,PAS,NY,BLUE,1998,CHEVR
SDN,PAS,NY,BLACK,2010,LINCO
VAN,PAS,NY,GREY,2012,NISSA
SDN,PAS,NY,OTHER,2005,CHRYS
SDN,PAS,NY,OTHER,2007,TOYOT
SDN,PAS,NY,BROWN,2010,LINCO
SDN,PAS,NY,GREY,2007,LINCO
SDN,PAS,NY,GREY,2001,NISSA
SUBN,PAS,NY,GREY,2008,DODGE
SUBN,PAS,NY,GREY,2011,ACURA
SUBN,PAS,NY,BLUE,2005,ACURA
SDN,PAS,NY,GREY,2006,HONDA
SDN,PAS,NY,RED,2005,HONDA
SDN,PAS,NY,BLACK,2007,MAZDA
I,PAS,NY,OTHER,2013,FORD
SDN,PAS,NY,GREY,2005,CHRYS
SUBN,PAS,NY,OTHER,2009,HONDA
SUBN,PAS,NY,GOLD,2004,CHEVR
FOUR,PAS,NY,BLACK,2013,HYUND
FOUR,PAS,NY,SILVER,2007,BMW
SDN,PAS,NY,OTHER,2014,HONDA
YDSD,PAS,NY,GREY,2005,NISSA
SDN,PAS,NY,BLACK,2015,HYUND
SDN,PAS,NY,BLACK,2002,ACURA
SDN,PAS,NY,GREY,2007,ACURA
YDSD,PAS,NY,GREY,2008,HONDA
SDN,PAS,NY,BLUE,2013,FORD
SUBN,PAS,NY,GREEN,2001,VOLVO
YDSD,PAS,NY,OTHER,2016,TOYOT
SUBN,PAS,NY,SILVER,2006,DODGE
SUBN,PAS,NY,SILVER,2017,HONDA
SUBN,PAS,NY,GREEN,2001,HONDA
SDN,PAS,NY,BLACK,2003,HONDA
SDN,PAS,NY,OTHER,2010,ACURA
SUBN,PAS,NY,GREY,2005,BMW
SDN,PAS,NY,BLACK,2016,HONDA
SUBN,PAS,NY,BLACK,2008,BMW
SDN,PAS,NY,BLACK,2013,NISSA
SDN,PAS,NY,TAN,2004,JAGUA
SUBN,PAS,NY,BROWN,2012,TOYOT
SDN,PAS,NY,RED,2009,FORD
P-U,PAS,NY,GREY,2016,FORD
SDN,PAS,NY,TAN,2006,HONDA
P-U,PAS,NY,GREY,2016,TOYOT
VAN,PAS,NY,OTHER,2006,FORD
SDN,PAS,NY,BLUE,2003,HONDA
SDN,PAS,NY,BLACK,2007,HONDA
VAN,PAS,NY,GREY,2005,HONDA
SUBN,PAS,NY,BLUE,2003,HONDA
SDN,PAS,PA,BLACK,2002,NISSA
SDN,PAS,NY,GREY,2008,HYUND
SUBN,PAS,NY,GREY,2005,FORD
SUBN,PAS,NY,GREY,2016,HONDA
SUBN,PAS,NY,BLACK,2017,DODGE
SUBN,PAS,NY,OTHER,2010,FORD
TAXI,PAS,NY,YELLOW,2009,FORD
SDN,PAS,NY,GREY,2002,HONDA
SDN,PAS,NY,BLACK,2007,VOLKS
VAN,PAS,NY,BLACK,2012,FORD
VAN,PAS,NY,OTHER,2003,FORD
SDN,PAS,NY,OTHER,2010,FORD
VAN,PAS,NY,BLUE,2003,FORD
SDN,PAS,NY,BLUE,1998,HONDA
VAN,PAS,NY,OTHER,2005,CHEVR
SUBN,PAS,NY,BROWN,2004,HONDA
SUBN,PAS,NY,OTHER,2004,HONDA
SUBN,PAS,NY,BLUE,2005,FORD
SDN,PAS,NY,OTHER,2010,HONDA
SDN,PAS,NY,BLACK,2015,ACURA
SUBN,PAS,NY,BLACK,2001,ME/BE
SUBN,PAS,NY,RED,2012,DODGE
SDN,PAS,NY,GREY,2014,HONDA
SUBN,PAS,NY,RED,2005,TOYOT
SDN,PAS,NY,BLACK,2005,AUDI
SDN,PAS,NY,BLACK,2006,PONTI
SUBN,PAS,NY,BLACK,2015,MITSU
SDN,PAS,NY,TAN,2017,MINI
SDN,PAS,NY,GREY,2014,ME/BE
SUBN,PAS,NY,BLUE,2015,MAZDA
SDN,PAS,NY,BLACK,1999,ACURA
SDN,PAS,NY,GREY,2015,FORD
SDN,PAS,NY,BLACK,2002,LEXUS
SUBN,PAS,NY,TAN,1998,FORD
SDN,PAS,NY,RED,2016,CHRYS
SDN,PAS,NY,TAN,2006,NISSA
SDN,PAS,NY,BLUE,2003,FORD
SUBN,PAS,NY,OTHER,2008,FORD
,PAS,NY,OTHER,2015,ME/BE
SDN,PAS,NY,GREY,2016,TOYOT
SUBN,PAS,NY,GREY,2008,SUZUK
SUBN,PAS,NY,OTHER,2007,FORD
SUBN,PAS,NY,BLACK,2013,CHRYS
SUBN,PAS,PA,BLUE,2007,HONDA
SUBN,PAS,NY,BLUE,2016,NISSA
SUBN,PAS,NY,GREEN,2002,FORD
SDN,PAS,NY,BLUE,1991,TOYOT
SDN,PAS,NY,SILVER,2013,BMW
SDN,PAS,NY,GREY,1997,NISSA
SDN,PAS,NY,TAN,2005,HONDA
SDN,PAS,NY,RED,2017,NISSA
SUBN,PAS,NY,SILVER,2006,SUZUK
SDN,PAS,NY,SILVER,2011,NISSA
SDN,PAS,NY,GREEN,1999,TOYOT
SDN,PAS,NY,BLACK,2003,TOYOT
VAN,PAS,NY,GREY,2006,FORD
SDN,PAS,NY,BLACK,2015,CHEVR
SUBN,PAS,NY,RED,2014,NISSA
SDN,PAS,NY,BLACK,2014,TOYOT
DELV,PAS,NY,BLUE,2016,NISSA
SDN,PAS,NY,OTHER,2014,KIA
SDN,PAS,NY,RED,2004,DODGE
SUBN,PAS,NY,GOLD,2004,TOYOT
SDN,PAS,NY,OTHER,2002,NISSA
SDN,PAS,NY,GREY,2007,HONDA
SUBN,PAS,NY,OTHER,2013,BMW
P-U,PAS,NY,GREY,2006,CHEVR
CONV,PAS,NY,BROWN,2006,MINI
SUBN,PAS,NY,BLACK,2008,HONDA
SUBN,PAS,NY,BLACK,2014,ACURA
SUBN,PAS,NY,GREY,2014,NISSA
SDN,PAS,NY,BLACK,2014,LEXUS
SUBN,PAS,NY,BLACK,2004,NISSA
SDN,PAS,NY,OTHER,2014,NISSA
SUBN,PAS,NY,OTHER,2016,ME/BE
SUBN,PAS,NY,BLACK,2015,FORD
SDN,PAS,NY,BLUE,2007,BMW
SUBN,PAS,NY,BLACK,2017,BUICK
SUBN,PAS,NY,BLACK,2015,HONDA
SUBN,PAS,NY,BLACK,2011,ACURA
SDN,PAS,NY,BLACK,1998,NISSA
